128,278,447,617,786,956,1125,1291,1455,1616,1777,1942,2091,2221,2340,2423,2519,2630,2741
273,577,911,1250,1589,1930,2266,2600,2930,3257,3586,3918,4215,4473,4715,4904,5106,5309,5508
409,859,1349,1847,2348,2851,3352,3854,4352,4850,5349,5845,6282,6668,7049,7380,7693,7995,8285
541,1143,1790,2435,3080,3730,4385,5043,5703,6369,7036,7691,8265,8774,9287,9746,10166,10587,11003
672,1424,2228,3027,3825,4620,5420,6218,7029,7847,8669,9478,10188,10816,11436,11999,12527,13068,13603
803,1691,2640,3587,4533,5458,6402,7354,8327,9304,10290,11266,12140,12920,13675,14364,15020,15686,16343
940,1976,3061,4141,5212,6244,7309,8415,9551,10690,11840,12983,14023,14953,15851,16687,17496,18311,19113
1087,2281,3517,4748,5954,7093,8254,9504,10809,12117,13437,14751,15945,17005,18035,19023,19980,20934,21870
1261,2627,4027,5424,6789,8060,9323,10710,12177,13652,15140,16614,17956,19147,20308,21442,22523,23602,24676
1438,2981,4555,6125,7653,9070,10439,11938,13547,15170,16807,18409,19876,21198,22499,23768,24971,26193,27422
1615,3331,5066,6801,8482,10034,11509,13105,14833,16586,18350,20057,21622,23047,24477,25875,27211,28577,29957
1793,3681,5561,7428,9246,10916,12490,14180,16017,17898,19784,21594,23257,24783,26328,27834,29280,30768,32279
1971,4036,6078,8085,10032,11816,13500,15294,17243,19246,21241,23158,24944,26579,28225,29824,31366,32956,34572
2149,4392,6609,8767,10836,12728,14523,16425,18479,20586,22686,24715,26626,28372,30136,31847,33490,35182,36908
2328,4750,7146,9470,11679,13691,15599,17621,19794,22009,24238,26414,28467,30331,32213,34036,35779,37570,39406
2506,5107,7674,10143,12483,14621,16649,18800,21102,23438,25805,28121,30306,32270,34241,36155,37994,39894,41849
2678,5448,8168,10740,13179,15416,17549,19813,22235,24692,27187,29619,31913,33967,36022,38030,39985,42012,44094
2854,5791,8643,11313,13853,16189,18421,20791,23335,25918,28539,31080,33478,35634,37799,39922,42008,44171,46371
3026,6127,9119,11912,14557,17000,19332,21815,24494,27213,29959,32612,35116,37383,39662,41916,44132,46426,48751
-1
