241,479,711,934,1148,1350,1540,1719,1887,2040,2179,2298,2399,2494,2589,2684,2784,2888,2993
482,959,1428,1881,2315,2727,3116,3482,3827,4145,4436,4692,4912,5115,5313,5511,5720,5935,6150
705,1409,2111,2797,3460,4094,4697,5267,5808,6311,6775,7190,7554,7886,8202,8513,8834,9161,9487
896,1797,2705,3603,4479,5329,6148,6931,7681,8384,9038,9629,10156,10640,11095,11534,11974,12417,12859
1058,2124,3204,4281,5341,6380,7395,8378,9329,10234,11086,11865,12571,13226,13840,14427,15003,15574,16138
1190,2392,3614,4839,6053,7251,8431,9583,10708,11795,12833,13798,14690,15525,16310,17058,17785,18499,19200
1299,2613,3951,5296,6634,7960,9272,10561,11828,13062,14253,15379,16442,17452,18409,19324,20210,21079,21930
1406,2829,4279,5739,7195,8641,10075,11490,12889,14254,15574,16832,18035,19194,20306,21379,22424,23453,24462
1520,3061,4636,6225,7813,9393,10962,12516,14060,15570,17031,18424,19756,21042,22284,23493,24678,25850,27005
1625,3274,4962,6668,8376,10078,11771,13453,15129,16775,18373,19902,21369,22787,24158,25497,26811,28113,29400
1743,3512,5324,7157,8994,10826,12651,14466,16276,18059,19794,21458,23064,24624,26135,27612,29059,30492,31909
1879,3787,5741,7718,9702,11682,13657,15624,17584,19515,21393,23197,24948,26654,28304,29913,31486,33042,34582
2042,4115,6233,8371,10516,12655,14790,16914,19025,21102,23124,25074,26967,28803,30570,32289,33971,35636,37287
2210,4446,6722,9016,11314,13602,15884,18153,20403,22616,24774,26858,28883,30846,32733,34572,36377,38163,39933
2382,4785,7222,9678,12135,14573,16992,19391,21769,24109,26392,28598,30747,32839,34854,36821,38755,40668,42565
2561,5139,7743,10355,12960,15538,18089,20617,23128,25607,28029,30371,32654,34883,37036,39135,41195,43232,45255
2718,5448,8195,10939,13663,16352,19013,21650,24274,26875,29421,31887,34296,36657,38942,41169,43350,45506,47647
2859,5729,8613,11491,14340,17143,19912,22657,25393,28111,30773,33355,35884,38372,40788,43143,45447,47722,49981
3017,6043,9082,12115,15115,18062,20970,23855,26731,29581,32367,35073,37730,40349,42898,45386,47819,50218,52601
-1
