237,468,683,895,1109,1310,1501,1697,1901,2084,2225,2340,2451,2571,2723,2907,3103,3300,3500
444,876,1280,1682,2091,2476,2841,3215,3606,3958,4231,4454,4668,4898,5185,5532,5903,6274,6649
589,1162,1699,2234,2778,3294,3783,4281,4804,5284,5669,5993,6305,6634,7027,7493,7991,8488,8987
710,1400,2047,2688,3334,3950,4537,5135,5762,6349,6843,7275,7692,8123,8617,9187,9794,10399,11003
843,1655,2412,3155,3896,4605,5286,5981,6710,7404,8009,8552,9077,9613,10210,10885,11598,12306,13012
1011,1976,2857,3707,4546,5350,6128,6923,7754,8554,9268,9921,10552,11187,11879,12649,13458,14262,15070
1186,2327,3378,4378,5343,6257,7140,8037,8969,9870,10685,11437,12160,12879,13652,14505,15401,16299,17212
1343,2660,3916,5126,6277,7340,8343,9339,10360,11348,12249,13082,13881,14673,15521,16454,17435,18425,19438
1487,2968,4425,5856,7226,8490,9663,10784,11895,12966,13948,14860,15735,16602,17526,18539,19603,20680,21782
1662,3314,4943,6552,8113,9578,10948,12233,13459,14620,15686,16681,17639,18587,19592,20687,21836,23000,24190
1863,3709,5516,7285,8999,10621,12151,13590,14955,16228,17383,18464,19510,20550,21645,22827,24065,25320,26601
2070,4121,6123,8073,9952,11724,13386,14949,16455,17871,19132,20301,21435,22567,23751,25017,26339,27680,29047
2284,4546,6752,8897,10961,12907,14726,16427,18067,19622,21001,22266,23489,24711,25982,27331,28737,30166,31621
2502,4980,7395,9741,11998,14129,16123,17987,19778,21474,22988,24375,25704,27030,28399,29842,31341,32866,34417
2730,5433,8065,10622,13083,15408,17587,19629,21590,23445,25108,26632,28084,29522,30991,32528,34119,35739,37386
2965,5903,8761,11538,14213,16743,19119,21349,23490,25517,27344,29021,30617,32188,33775,35418,37108,38827,40571
3206,6386,9480,12486,15384,18129,20712,23143,25475,27686,29690,31536,33293,35016,36744,38515,40323,42152,44002
3440,6855,10184,13424,16552,19522,22324,24968,27506,29917,32113,34143,36076,37965,39848,41764,43706,45659,47626
3652,7283,10833,14293,17642,20836,23861,26724,29476,32099,34501,36728,38849,40916,42966,45040,47130,49223,51321
-1
