40,84,125,157,176,195,229,287,388,504,616,697,748,784,811,833,860,889,931
124,279,401,498,577,644,731,846,1035,1263,1478,1620,1706,1778,1839,1918,2019,2130,2245
286,629,856,993,1103,1218,1359,1547,1832,2195,2541,2760,2997,3169,3278,3417,3588,3769,3975
467,1004,1345,1536,1714,1902,2094,2369,2749,3237,3694,4042,4469,4783,4936,5106,5340,5568,5834
638,1354,1790,2041,2282,2534,2791,3141,3603,4231,4803,5280,5916,6381,6605,6848,7160,7468,7838
747,1556,2075,2408,2728,3060,3402,3818,4382,5152,5860,6449,7290,7902,8198,8513,8909,9324,9813
864,1783,2404,2836,3257,3693,4122,4624,5306,6219,7071,7766,8749,9488,9895,10316,10829,11370,11982
970,2005,2733,3270,3797,4330,4836,5430,6232,7289,8276,9079,10173,11035,11572,12124,12772,13445,14195
1072,2223,3075,3738,4386,5017,5606,6292,7210,8413,9532,10454,11639,12617,13279,13959,14741,15560,16452
1172,2437,3412,4199,4955,5673,6355,7132,8152,9476,10718,11769,13062,14129,14913,15729,16663,17635,18665
1269,2640,3731,4631,5483,6292,7026,7860,8942,10338,11639,12737,14120,15291,16197,17149,18227,19341,20502
1360,2832,4030,5036,5987,6885,7679,8544,9667,11110,12446,13611,15114,16417,17446,18529,19744,20991,22276
1446,3012,4309,5409,6431,7376,8199,9087,10235,11705,13065,14268,15852,17267,18414,19620,20961,22333,23732
1525,3177,4562,5714,6763,7741,8609,9556,10759,12273,13701,14957,16579,18032,19252,20568,22025,23510,25014
1591,3324,4785,5974,7050,8060,8972,9970,11234,12813,14298,15613,17285,18773,20029,21430,22997,24589,26190
1640,3439,4960,6184,7308,8380,9362,10449,11810,13483,15061,16473,18225,19772,21063,22532,24205,25885,27551
1677,3518,5087,6346,7528,8660,9706,10862,12310,14080,15753,17259,19099,20723,22050,23581,25320,27059,28777
1709,3585,5177,6463,7685,8867,9948,11123,12588,14377,16081,17639,19543,21229,22596,24175,25960,27742,29497
1730,3636,5255,6564,7822,9051,10180,11394,12890,14707,16447,18056,20014,21746,23145,24757,26577,28388,30163
1
