123,225,333,445,586,748,916,1098,1276,1431,1621,1789,1938,2081,2210,2324,2429,2511,2580
223,427,637,832,1036,1284,1568,1902,2226,2523,2872,3182,3454,3677,3881,4096,4336,4526,4666
326,670,1045,1408,1756,2118,2505,2950,3430,3902,4417,4832,5196,5529,5849,6188,6548,6852,7086
446,910,1375,1806,2232,2697,3213,3776,4395,5046,5718,6229,6720,7158,7569,7985,8438,8820,9156
566,1137,1726,2288,2851,3442,4094,4792,5531,6338,7162,7770,8395,8980,9556,10126,10717,11220,11672
703,1423,2167,2907,3653,4382,5172,6004,6855,7816,8799,9499,10248,10972,11704,12439,13179,13807,14386
865,1750,2668,3575,4480,5363,6319,7289,8253,9352,10483,11278,12128,13009,13901,14797,15698,16466,17171
1025,2080,3186,4291,5393,6473,7594,8694,9772,11006,12300,13216,14150,15175,16242,17313,18376,19285,20117
1177,2392,3678,4975,6276,7549,8828,10049,11237,12608,14060,15114,16133,17298,18545,19791,21013,22058,23010
1313,2664,4113,5598,7092,8547,9982,11322,12624,14130,15745,16950,18061,19341,20752,22168,23544,24721,25794
1442,2930,4529,6192,7863,9470,11051,12516,13943,15565,17335,18683,19879,21249,22794,24363,25882,27191,28380
1568,3195,4943,6772,8588,10344,12077,13653,15189,16914,18784,20222,21499,22963,24628,26331,27991,29433,30738
1695,3458,5349,7322,9279,11183,13063,14772,16435,18306,20299,21851,23232,24803,26577,28401,30198,31774,33198
1808,3702,5729,7835,9927,11958,13974,15822,17625,19641,21769,23456,24952,26633,28508,30434,32353,34062,35604
1929,3957,6113,8342,10552,12703,14852,16838,18783,20948,23230,25058,26666,28453,30421,32446,34477,36325,38002
2049,4217,6517,8865,11174,13408,15654,17744,19801,22082,24481,26407,28108,29969,32011,34149,36319,38303,40088
2170,4467,6920,9412,11863,14212,16556,18750,20922,23325,25834,27867,29656,31594,33727,36002,38327,40436,42322
2287,4711,7298,9934,12530,15004,17461,19766,22061,24595,27237,29383,31267,33292,35522,37919,40374,42598,44581
2405,4949,7661,10423,13147,15747,18328,20746,23147,25786,28530,30776,32760,34889,37225,39729,42298,44629,46699
1
