42,111,223,337,412,471,534,600,663,736,870,1016,1115,1162,1182,1194,1210,1235,1265
86,221,426,619,738,833,942,1069,1195,1347,1623,1911,2109,2212,2259,2284,2315,2363,2423
128,316,577,805,937,1043,1176,1357,1556,1822,2250,2655,2937,3100,3182,3224,3272,3341,3429
164,399,712,973,1115,1227,1379,1613,1905,2323,2898,3381,3721,3937,4057,4122,4193,4289,4408
220,530,931,1255,1424,1546,1718,2007,2404,2973,3675,4225,4621,4895,5069,5177,5295,5446,5620
298,707,1224,1638,1853,1994,2189,2537,3035,3718,4502,5111,5565,5901,6140,6315,6520,6769,7032
376,879,1504,2004,2267,2433,2658,3070,3663,4422,5241,5874,6356,6733,7034,7292,7605,7970,8336
452,1032,1725,2273,2566,2760,3029,3521,4214,5023,5852,6490,6990,7415,7795,8151,8573,9048,9503
532,1191,1941,2515,2823,3047,3385,3996,4808,5658,6494,7143,7681,8183,8664,9125,9645,10206,10734
611,1348,2163,2773,3094,3351,3789,4558,5503,6408,7281,7972,8570,9160,9740,10286,10870,11499,12152
685,1493,2366,3026,3375,3682,4244,5185,6279,7282,8245,9018,9691,10356,11005,11599,12233,12998,13863
745,1613,2530,3238,3641,4037,4744,5858,7114,8249,9334,10208,10955,11674,12365,12995,13735,14716,15826
789,1705,2658,3399,3861,4367,5242,6535,7952,9222,10421,11382,12190,12954,13683,14387,15318,16546,17901
823,1779,2766,3538,4060,4656,5683,7148,8709,10086,11362,12380,13236,14043,14827,15684,16852,18328,19908
854,1847,2870,3683,4291,4975,6110,7709,9377,10825,12154,13222,14125,14983,15870,16938,18354,20078,21879
882,1910,2972,3830,4520,5292,6506,8189,9925,11422,12806,13935,14890,15807,16822,18113,19777,21747,23777
910,1972,3075,3977,4720,5545,6819,8569,10353,11889,13327,14517,15529,16509,17638,19138,21048,23262,25523
941,2037,3181,4134,4925,5783,7099,8916,10754,12327,13809,15053,16129,17190,18424,20103,22254,24709,27191
973,2105,3295,4309,5155,6047,7394,9267,11172,12788,14299,15584,16727,17882,19224,21067,23455,26149,28824
-1
